"id";"title";"sentence";"subject1";"subject2";"subject3";"subject_notsure";"suggested_subject";"type1";"type2";"type3";"type_notsure";"suggested_type"
"1086";;"با سلام. من مشکلم آبی شدن صفحه لب تاپ ام بعد یه مدته! و خطای Kernel Data Inpage Error میده.اینترنت زیاد گشتم واسه حل مشکل اما گیج شدم هرکس یه راه حلی میده  و نمیدونم درست هستند یا نه ؟ نگرانم ! از شما دوستان عزیز راهنمایی میخوام. کمکم کنید . ممنون میشم";"کامپیوتر/موبایل";"فنی";;"0";;"نظر";;;"0";
"1087";"عمومی";"در صورت مخدوش بودن و يا مفقود شدن پلاك سيني و اخذ مجدد پلاك چه كارهايي را بايد انجام داد؟ و چه مداركي لازم است ؟ ";"فنی";"ماشین";;"0";;"پیشنهاد";;;"0";
"1088";"عمومی";"آيا پس از ثبت نام خودرو ، امكان تغيير رنگ وجود دارد ؟ ";"خرید";"ماشین";;"0";;"توضیح";;;"0";
"1089";"خرید و فروش";"گران فروختن تخم مرغ با توجیهات مختلف چه حکمی دارد؟";"حقوق/قانون";"مذهبی";;"0";;"نظر";;;"0";
"1090";"خرید و فروش";"آیا هنگام نماز جمعه خرید وفروش ایراد دارد؟";"مذهبی";"خرید";;"0";;"پیشنهاد";;;"0";
"1091";"خرید و فروش";"آیا خریدن کتابی که بدون اجازه مؤلف آن تکثیر شده برای مطالعه درسی اشکال دارد؟";"خرید";"مذهبی";;"0";;"بله/خیر";;;"0";
"1092";"خرید و فروش";"بعضیها برای فروش کالاهای خود بصورت اقساطی از فرمول ۲۴۰۰/ درصد*(۱+ مدت)* وام= سود استفاده می کنند ایا این فرمول شرعی است؟";"خرید";;;"0";;"پیشنهاد";;;"0";
"1093";"راهنمای خرید گوشی";"با سلام بهترین گوشی در حد یک میلیون پونصد چیه؟در ضمن بین سامسونگ s6 دوسیم و هواوییp9 کدوم بهتره؟";"خرید";;;"0";;"نظر";;;"0";
"1094";"راهنمای خرید گوشی";"بین این سه گوشی در برابر هم کدوم بهتره؟ j5 با p8 lite و j7 با p8 lite";"کامپیوتر/موبایل";;;"0";;"توضیح";;;"0";
"1095";"راهنمای خرید گوشی";"تاقیمت 500-600 هزار چه مدل هواوی بخرم بهتره مثلا آنر4c چطوره؟ فوریه";"کامپیوتر/موبایل";;;"0";;"پیشنهاد";;;"0";
"1096";"راهنمای خرید تبلت";"با سلام این مشکل تاچ تبلت لنوو a5500 از چیشه؟‌‌ اگر تبلتو بروزرسانی کنم درست میشه لطفا جواب بدید باتشکر.";"کامپیوتر/موبایل";;;"0";;"نظر";;;"0";
"1097";"پشتیبانی تبلت از otg";"با سلام.میخواستم بدونم تبلت asus memo pad7 me572cl از otg پشتیبانی میکنه یا نه ؟";"کامپیوتر/موبایل";;;"0";;"نظر";;;"0";
"1098";"آرایش مناسب پلک های افتاده";"گوشه چشم‌هام افتادگی داره. آیا امکان برطرف کردنشون هست؟ چه آرایشی به پلک‌های افتاده کمک می‌کنه؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1099";"چه دلایلی می تواند باعث لاغری شود؟";"نزدیک 6کیلو وزن کم کرده ام. از وقتی که ازدواج کرده ام تغذیه ام خیلی خوب نیست. لطفا راهنماییم کنید؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1100";"آیا سیب زمینی باعث از بین رفتن کبد و کلیه ها می‌شود؟";"پرورش اندام کار میکنم. روزی 1 کیلو سیب زمینی میخورم اما تو باشگاه 2ساعت تمرین میکنم بعدش 25 دقیقه تردمیل میرم و کلی عرق میکنم. دو لیتر هم آب مصرف میکنم. به نظر شما بازم کبد و کلیه هام از بین میرن؟";"زیبایی";;;"0";;"نظر";;;"0";
"1101";"پسرم رشد خوبی ندارد";"پسرم 13 سال و نه ماه سن دارد قدش 155 و وزنش 48 کیلوست. غذا خوب میخوره ولی رشد خوبی نداره متخصص غدد بردم ازمایشهاش خوبه فقط کم خونی داره قبل از ازماش هم دکتر بهش امپولهای د3وقرص زینک داده صبح‌ها به سختی بیدار میشه خیلی بی‌حوصله‌اس و روی درس خوندن تمرکز نداره بنظرتون چکار باید کرد؟";"کودکان";;;"0";;"نظر";;;"0";
"1102";"حقوقی";"چنانچه سندی توسط ماموری که فاقد صلاحیت است صادر شود آیا آن سند دارای اعتبار است؟";"حقوق/قانون";;;"0";;"نظر";;;"0";
"1103";"حقوقی";"اگر در مبایعه نامه متراژ ملک ۱۰۰مترمربع نوشته ولی بعد مشخص شود که متراژ ملک ۱۲۰مترمربع است حکم صحیح چیست؟";"حقوق/قانون";;;"0";;"نظر";;;"0";
"1104";"حقوقی";"با درود و قدر دانی از فضائی که در اختیار قرارداده اید . من راهکار تبدیل سند مسکونی به اداری را جویا هستم . در سند مالکست موجود کاربری مسکونی ثبت گرردیده است اما با در دست داشتن پایان کار اداری مراحل ثبت کابری اداری در ثند مالکیت چگونه است و ایا دفتر وکالت سرکار مراحل اجرائی این مسئله را به عهده میگیر یا خیر . پیشاپیش از راهمائی سرکار غمیقن سپاس گزار م";"حقوق/قانون";;;"0";;"نظر";;;"0";
"1105";"قوانین کار";"آیا در مدتی که کارگر در مرخصی بدون حقوق بسر می برد به این ایام مرخصی استحقاقی تعلق می گیرد؟";"کار";"حقوق/قانون";;"0";;"نظر";;;"0";
"1106";"ارتودنسی زمانبر است لمینیت کنم؟";"دختری ۲۶ ساله هستم. ۴ دندان جلویی بالا و۴ دندان جلویی پایینم نامرتبی کمی دارند. شرایط بودن ارتودنسی به مدت ۲ سال در دهانم را ندارم. به تازگی با روش لمینیت آشنا شده ام و با دکتر مشورت کرده ام و برای مدت ۷ سال لمینیت راضمانت کرده اند. آیا بعد از گذشت ۷ سال مجددا باید لمینیت را تکرار کنم؟ آیا استفاده از ارتودنسی مطمئن تر می باشد؟ هزینه لمینیت هشت دندان نیز زیاد است. پیشنهاد شما چیست؟";"زیبایی";;;"0";;"نظر";;;"0";
"1107";"رفع کجی لترال با استفاده از لمینیت";"دو عدد از دندان های جلویی من کج هستند و به طرف جلو مایل شده اند آیا امکانش هست که این دو دندان را با لمینت قدری بهبود داد؟";"زیبایی";;;"0";;"نظر";;;"0";
"1108";"یک فارغ التحصیل جویای کار برای پیدا کردن کار چه بایدبکند؟";"به نظرتان یک  فارغ التحصیل اکتشاف،زمین شناسی و استخراج در اولین قدم بعد از فارغ التحصیلی برای پیدا کردن یک شغل چه باید بکند و پیشنهادتان چیست؟";"تحصیل";;;"0";;"پیشنهاد";;;"0";
"1109";"شغل";"کار طبابت ایجاب می کند که پزشکان بعضی خانمهای بیمار را با دقت معاینه کنند و چون در کشورهای اروپایی در آوردن لباسهای رویی به هنگام معاینه،معمولی است آیا پرداختن به شغل پزشکی در آنجاها و به این صورت جایز است؟";"کار";;;"0";;"نظر";;;"0";
"1110";"شغل";"ایا کار کردن در روز عاشورا حرام یا مکروه است؟";"مذهبی";"کار";;"0";;"بله/خیر";;;"0";
"1111";"کدوم آموزشگاه زبان بهتره؟";"سلام دوستان کدوم آموزشگاه زبان بهتره .در من میخوام رو مکالمه بیشتر کار کنه تا گرامر بین موسسه های زیر موندم: اکسین سفیر  کیش کانون زبان ایران خیـــــــــــــــــــــــ ــلی ممنونم از راهنماییتون";"تحصیل";;;"0";;"توضیح";;;"0";
"1112";"چطوری یه کار خوب با درآمد مناسب پیدا کنم ؟";"با  عرض سلام یک سوال از کسانی که سرکار رفته اند بخصوص آنهایی که در سنین پایین سر کار رفته اند . مثلا 23   ( منظورم به عنوان مهندس  و یا تحصیلکرده ) میشه روند پیدا کردن کارتونو بگین ؟ مثلا شخصیت افشین 23 که در یک پست اعلام کرده اند 3 میلیون هم درآمد دارند ، یا خانوم هایی که در پست  های مختلف نوشته اند مثلا 22 23 سال دارند  ولی دارای شغل ثابت با درآمد عالی هستند من جوانی 25 ساله دانشجوی ارشد برق در تهرانم سربازیم هم مونده نمیدونم از کجا شروع کنم ؟";"کار";;;"0";;"نظر";;;"0";
"1113";"معرفی بهترین اموزشگاه زبان";"سلام بنده مدتی پیش در همین زمینه تاپیک زده بودم البته در مورد سی دی های اموزشی زبان همه پیشنهاد میدادن الان تصمیم گرفتیم کلاس بریم بهتره من زبان برای دانشگاه و ... نمیخام یاد بگیرم میخام اسپیک انگلیشم خوب باشه فقط در حد گفتاری همین  میشه بفرمائید کدام اموزشگاه بهترین اموزش را در این زمینه میده ؟=خودم ساکن خیابان هفده شهریور - میدان شهدا هستم ممنون میشم معرفی کنید دوستان";"تحصیل";;;"0";;"پیشنهاد";;;"0";
"1114";"كلاس زبان كانون بهتره يا سفير؟؟";"موندم كدومو برم سفير يا كانون كدوم بهتره؟ اگه ميدونيد بگيد حتما ميتونم آزمون تعيين سطح ندم؟ آخه ميخوام از اول شروع كنم";"تحصیل";;;"0";;"نظر";;;"0";
"1115";"كدوم آموزشگاه زبان برای مكالمه انگلیسی بهتره ؟";"كدوم آموزشگاه زبان برای مكالمه انگلیسی بهتره با بازدهی بیشتر ؟ از هر لحاظ منظورمه ؟كیش یا سفیر ؟اگر هم اطلاعات بیشتری در مورد این 2 آموزشگاه دارین با تفاوتها یا شباهتهاشون ممنون میشم بگین ..همچنین از لحاظ به روز بودن ومعتبر بودن مدرك ارائه شده و منابع درسی اونها برای مكالمه";"تحصیل";;;"0";;"نظر";;;"0";
"1116";"برای كلاس زبان انگلیسی چه مؤسسه ای رو پیشنهاد می كنید ؟؟ ";"مجتمع فنی تهران چطوره ؟؟؟";"تحصیل";;;"0";;"پیشنهاد";;;"0";
"1117";"برای خرید جهیزیه از چی شروع کنم سردرگمم؟ ";"بچه ها سلام من تازه دارم شروع میکنم برا خرید جهیزیه انقد وسواس گرفتم تا حالا صد بار با مامانم رفتم بیرون هیچی نتونستم بخرم میترسم از جنسا یکی راهنماییم کنه از چچی شروع کنم برا خرید چه مارکایی خوبن؟؟تروخدا کمک کنید";"خرید";;;"0";;"پیشنهاد";;;"0";
"1118";"چی بخریم؟";"چطور جهیزیه عروس بخریم؟";"خرید";;;"0";;"نظر";;;"0";
"1119";"چی بخوریم؟";"صبحانه خوب کجا بخوریم؟";"تغذیه";;;"0";;"پیشنهاد";;;"0";
"1120";"چگونه جهزیه بخریم؟";"دوستای خوبم سلام  کدوماتون در حال خرید جهزیه هستید ؟ بیاید ببینیم با این گرونی و این وضع و اوضاع فکرامون رو رو هم بریزیم ببینیم باید چی کار کنیم ؟ چی بخریم ؟ چی نخریم ؟ از پارسال تا الان قیمت ها چند برابر شده ، من از بعضی قیمت ها واقعا تعجب میکنم .موندم که باید چی کار کنم .";"خرید";;;"0";;"پیشنهاد";;;"0";
"1121";"خرید لباس مجلسی و کفش مجلسی شیک(معرفی مغازه)";"لباس مجلسی وکفش مجلسی تک و شیک از کجا بخرم؟ ";"خرید";;;"0";;"پیشنهاد";;;"0";
"1122";"خرید لباس مجلسی و کفش مجلسی شیک(معرفی مغازه)";"لباس مجلسی وکفش مجلسی تک و شیک از کجا بخرم؟ از اون لباس گیپور های کوتاه کرج داره من دیدم 150 تا 180 هست ولی استین کوتاه ";"خرید";;;"0";;"نظر";;;"0";
"1123";"خرید لباس مجلسی";"سلام دوستان. من دو تا عروسی دعوت شدم ولی راستش نمیدونم کجا میتونم یه لباس مجلسی شیک و با قیمت مناسب پیدا کنم.اگه کسی جایی رو میشناسه لطفا راهنمایی کنه.ممــــــــــــــــنون :*";"خرید";;;"0";;"پیشنهاد";;;"0";
"1124";"لباس مجلسی وکفش مجلسی تک و شیک از کجای تهرون بخرم؟ ";"سلام دوستان ..لطف کنید بگید برا لباس مجلسی شیک کجا برم که مدلاش تک باشه ..قیمت هم مهم نیست ..چون جاری شدم میخوام لباساش مدل عربی یا ترک باشه؟";"خرید";;;"0";;"پیشنهاد";;;"0";
"1125";"از کجا لباس می خرین؟";"لطف کنین بگین شهرتون کجاست و از کدام محل از آن بیشتر خرید لباس میکنید و ازش راضی هستید؟";"خرید";;;"0";;"نظر";;;"0";
"1126";"چی رو از کجای تهران بخرم؟ ";"سلام خانوم گلبرا خرید لباس عروس برا مزون باید کجا برم.که هم قیمتش خوب باشه هم شیک.مممنون میشم زود جوابمو بدید";"خرید";;;"0";;"پیشنهاد";;;"0";
"1127";"به راحتی جدایی را پذیرفت!";"29 سالمه شاغلم و ارشد آمار دارم. خواستگارهای زیادی داشتم. سال گذشته یه خواستگار داشتم، پسری 30 ساله، مهندس برق و در عسلویه کار می کرد. جلسه اول خواستگاری هر دو ما خیلی از هم خوشمون اومد. بعد از یک ماه ما عقد کردیم. البته در این یه ماه هم با تلفن با هم در ارتباط بودیم بعد از عقد اختلاف داشتیم. یعنی پسری بود که قهر می کرد و من همش منت کشی می کردم. دعوا می کرد. خانواده اش نمی ذاشتن تصمیم بگیره. از طرفی خانواده من هم از رفتارهاش خوششون نمی اومد.من خیلی سعی کردم تحمل کنم و کوتاه بیام. یعنی کوچکترین نیاز منو دلیل بر پرتوقعی میدونست. به هر ";"روابط";;;"0";;"نظر";;;"0";
"1128";"چه لوازم آرایشی با چه مارکی بخرم؟؟؟؟؟؟؟؟؟؟ متخصصها بیاین؟";"بچه ها من میخام یه سری لوازم ارایش نه زیادش بخرم که بتونم استفاده کنم و اینکه مثلا رژ لبش خیلی زود پاک نشه.با غذا خوردن و میوه خوردن . واسه ابرو هم نمیدونم چی بخرم؟؟؟؟کرم پودر یا پنکیک ؟ کلا یه ارایشی که هم صورتمو تغییر بده هم اینکه خیلی تابلو نباشه .یه خورده عوض بشم؟";"زیبایی";"خرید";;"0";;"نظر";;;"0";
"1129";"از کجا بفهمم که خواستگارم خسیس هست یا نه؟";"خواستگار من یک آقای 26 ساله مهندس برقه که توی دو جلسه ای که باهم صحبت کردیم در مورد اینکه دوست داره خانومش ادم قانعی باشه و توقعات بیجا نداشته باشه تا بتونه اول یه خونه بخره صحبت کرده. من حرفشو کاملا قبول دارم ولی نگران شدم که نکنه خسیس باشه؟ از نظر اخلاقی و خانوادگی در ظاهر خوب بنظر میان. در خیلی از موارد موقع صحبت تفاهم داشتیم. تحقیقاتم که رفتیم همه تایید کردن فقط دو نفر دقیقا این نکته رو گفتن که خسیسن. در مقابل یک نفرم بدون اینکه ما اصلا در مورد خساست یا دستو دلبازی بپرسیم خودش گفته اصلا ادمای خسیسی نیستن و ";"روانشناسی";;;"0";;"نظر";;;"0";
"1130";"دخترا کمکم کنید میخوام لوازم آرایش بخرم";"سلام به دخترای گل نواندیش. همه ی ما لوازم آرایش میخریم . میخوام اینجا از هم واسه خرید این لوازم کمک بگیریم.گه دوس داشتین میتونید لوازمی که خریدین بزارین . اینجوری بیشتر میتونیم به هم دیگه کمک کنیم";"زیبایی";"خرید";;"0";;"نظر";;;"0";
"1131";"برای خرید عروسی، لوازم آرایش چی بخرم؟";"این روزها مراسم دختر خاله امه حالا میخوایم بریم خرید چون مثه خواهر می  مونیم منم باهاش میرم :))) ولی مشکل اینه که لوازم آرایش نمی دونیم چیا باید گرفت که بشه بعدا هم ازش استفاده کرد و چه مارکی خوبه ؟؟ لوازم آرایشی که خودتون الان استفاده میکنید و راضی هستید چیه؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1132";"راهنمایی پیرامون برند لوازم آرایش ";"خانومهای محترم بفرمایید که بهترین مارک و برند لوازم ارایشی چیست ؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1133";"لوازم مصرفی آرایشگاه از کجا بخریم ؟ ";"سلام به همکاران خوب . خواستم بدونم شما موادی مثل رنگ مو و اکسیدان و چیزایی که مصرف دارید از کجا می خرید ؟ کدوم فروشگاه بهتره و منصفتره تو شهرتون ؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1134";"حوله خوشگل از كجا بخرم";"جايي رو ميشناسيد؟";"خرید";;;"0";;"نظر";;;"0";
"1135";"حوله خوب بخریم!!!-هایپرکلاپز";"چطور يك حوله مناسب و از جنس خوب بخرم كه چند سال برام كاركنه؟يك حوله خوب چه ويژگيهايي داره؟";"خرید";;;"0";;"پیشنهاد";;;"0";
"1136";"سیسمونی نوزاد";"مامی ها هر چی درباره سیسمونی میدونید اینجا مطرح کنید .";"خرید";"کودکان";;"0";;"پیشنهاد";;;"0";
"1137";"سیسمونی";"سیسمونی نوزاد چی بخریم؟";"خرید";;;"0";;"پیشنهاد";;;"0";
"1138";"چی بخریم؟";"نوشت‌ افزار ایرانی از کجا بخریم؟";"خرید";;;"0";;"پیشنهاد";;;"0";
"1139";"مارک لوازم تحریر - برند لوازم تحریر - برند لوازم التحریر - مارک لوازم ";"مارک و برند لوازم التحریری که بیشتر آشنایید رو بگید. خیلی وقتا یه مارکایی هستن که خیلی خوبن اما چون کمتر اسمشونو شنیدیم سمتشون نمی ریم و نمی خریم. ";"خرید";;;"0";;"پیشنهاد";;;"0";
"1140";"بهترین برند لوازم تحریر";"بهترین برند لوازم تحریر به نظر شما چیست؟";"تحصیل";;;"1";;"نظر";;;"0";
"1141";"حکم گوش کردن به موسیقی در حال روزه";"آیا گوش دادن به موسیقی روزه را باطل می کند؟";"مذهبی";;;"0";;"بله/خیر";;;"0";
"1142";"آرام نشستن بین دو سجده";"آیا در نماز واجب و مستحب، نشستن بین دو سجده لازم است؟";"مذهبی";;;"0";;"نظر";;;"0";
"1143";"بهترين ماركهاي ""لوازم آرايش"" با ""ذكر ""قيمت"" تقريبي؟";"سلام به همه ماماناي خوب و قشنگ...هر كدوم از مامانا كه اطلاعاتي در اين زمينه دارند لطفاً در ميون بذارن با بقيه...ترجيحاً ""جيوه"" هم نداشته باشند...البته اگر در اين مورد اطلاعاتي داريد...با آرزوي سلامتي براي همگي";"خرید";;;"0";;"پیشنهاد";;;"0";
"1144";"چی بپوشیم؟";"در خانه چی بپوشم – خانم‌ها";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1145";"چی بپوشیم؟";"برای خواستگاری چی بپوشم؟";"زیبایی";;;"0";;"پیشنهاد";;;"0";
"1146";"ازدواج";"دختر زيبايی هستم، اما خواستگار كمی دارم. از طرفی احساس می‌كنم كه دختران بدحجاب، در ازدواج موفق‌‏ترند. لطفا مرا راهنمايی كنيد؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1147";"ازدواج";"درباره انتخاب همسر و ازدواج، چه كتاب‌هايی را معرفی می‌كنيد؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1148";"دوست و دوست یابی";"بهترين دوست در ايام جواني چه كسی است؟";"روابط";;;"0";;"پیشنهاد";;;"0";
"1149";"ازدواج";"تناسب سنی در موفقیت ازدواج چقدر مؤثر است؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1150";"حقوق اداری و استخدامی";"بنده با مدرک ليسانس و با عنوان شغلي کارشناس با شرح وظايف مشخص با 12 سال سابقه خدمت ميباشم در اداره رئيس اداره به زور و اختياراتي که دارد بنده را به کار ديگري که در شرح وظايف ام نيست وادار ميکند و مدير کل هم با روساي ادارات هماهنگي داشته و به مشکل ما رسيدگي نمي کند و با توجه به اينکه به دليل اذيت در اداره امکان طرح شکايت به ديوان عدالت اداري را ندارم. لذا خواهشمندم راهنمائي فرمائيد";"حقوق/قانون";;;"0";;"توضیح";;;"0";
"1151";"حقوق اداری و استخدامی";"آيا رزمندگاني كه بيش از يكسال حضور داوطلبانه در دفاع مقدس داشته و جانباز كمتر از 25 درصد هستند در قوانين فعلي ايثارگرند يا خير.و چه تسهيلاتي در قوانين فعلي بايد دريافت كنند.";"حقوق/قانون";;;"0";;"توضیح";;;"0";
"1152";"حقوق اداری و استخدامی";"پرشش من در خصوص کساني است که بعد از جنگ تحميلي در مناطق جنگي حضور داشته اند از جمله کردستان . عنوان شده افرادي که در اين مناطق حضورداشته اند مي توانند از امتياز ايثارگري استفاده نمايند 1- آيا چنين چيزي صحت دارد . 2- در صورت صحت براساس کدام بخشنامه مي باشد لصفاً راهنمايي فرمائيد .";"حقوق/قانون";;;"0";;"توضیح";;;"0";
"1153";"حقوق اداری و استخدامی";"من و همسرم در يک سازمان کار مي کنيم اما وام مسکن ، ازدواج و هزينه سفر تنها به يکي از ما تعلق مي گيرد.آيا قانوني است؟با استناد به چه قانوني مي توانم پيگيري کنم و از حقم دفاع کنم؟";"حقوق/قانون";;;"0";;"توضیح";;;"0";
"1154";"احکام حقوقی";"درخصوص افراد مشمول قاعده الاقرب فالاقرب از لحاظ خویشاوندی و جنسیتی مستنداً اعلام نظر فرمایید.";"حقوق/قانون";;;"0";;"نظر";;;"0";
"1155";"احکام حقوقی";"اگر کسی خود را در معرض کشتن قرار دهد مثلا با علم به این که میدان تیر است وارد آن جا شود، یا خود را در وسط اتوبان قرار دهد و کشته شود حکم دیه آن چیست؟ با توجه به این که قصد خود کشی نداشته باشد؟";"حقوق/قانون";;;"0";;"نظر";;;"0";
"1156";"احکام حقوقی";"به لحاظ فقهی چرا زن و شوهر در خصوص قتل عمدی، حق قصاص یا عفو را ندارند؟";"حقوق/قانون";"مذهبی";;"0";;"نظر";;;"0";
"1157";"آراستگی و مدگرایی";"آیا مدگرایى و تقلید از مدهاى پوششى و آرایشى، به جسم و بدن ما نیز لطمه مى‌زند؟";"زیبایی";"سلامت";;"0";;"بله/خیر";;;"0";
"1158";"آراستگی و مدگرایی";"آیا انگیزه هاى اجتماعى مى تواند در گرایش جوان به مد و مدگرایى مؤثر باشد؛ راه درمان آن چگونه است؟";"زیبایی";;;"0";;"توضیح";;;"0";
"1159";"آراستگی و مدگرایی";"با توجه به اینکه ما نمى توانیم جدا از فضاى دانشگاه و دوستانمان زندگى کنیم و انواع مدها پیش روى ماست، چطور ممکن است که با آنها هم رنگ نشویم؟";"زیبایی";;;"0";;"نظر";;;"0";
"1160";"آراستگی و مدگرایی";"چرا انگشتر طلا براى مردان حرام است؟";"مذهبی";;;"0";;"دلیل";;;"0";
"1161";"آراستگی و مدگرایی";"اگر پوشیدن لباس مشکى در دین اسلام مکروه است، چرا زنان چادر مشکى به سر مى کنند و یا مردم در ایام عزادارى پیراهن مشکى مى پوشند؟";"مذهبی";;;"0";;"نظر";;;"0";
"1162";"آراستگی و مدگرایی";"شنیده ایم که موهاى سر پیامبر صلى الله علیه و آله بلند بوده است و یا ایشان براى موى سر خود فرق باز مى کردند؛ آیا این موضوع صحت دارد؟ در صورتى که جواب مثبت است پس چرا بعضى ها به جوانى که موى سرش بلند باشد و فرق سر بگذارد، نگاه حقارت آمیز مى کنند؟";"زیبایی";;;"0";;"نظر";;;"0";
"1163";"آراستگی و مدگرایی";"ناخن بلند، زیبایى خاصى به دست مى دهد پس چرا برخى افراد مذهبى به این کار نگاه بدبینانه اى دارند؟";"زیبایی";;;"0";;"نظر";;;"0";
"1164";"آراستگی و مدگرایی";"بعضى از اهل سنت موى سبیل خود را خیلى کوتاه مى کنند، آیا این سنت پیامبر صلى الله علیه و آله است؟";"مذهبی";;;"0";;"بله/خیر";;;"0";
"1165";"خانواده";"روش برخورد با مادرزني كه در زندگي انسان دخالت مي كند و دختر را نيز براي مخالفت با شوهر تحريك مي كند چيست؟ آيا بهتر نيست در اين مواقع با آنها قطع رابطه كرد؟";"روانشناسی";;;"0";;"بله/خیر";;;"0";
"1166";"خانواده";"مدت كوتاهي است كه ازدواج كرده ام . مادرم از من انتظارات و توقعاتي در نحوه برخورد با همسرم دارد كه بر خلاف خواسته هاي شوهرم مي باشد.نمي دانم مادرم را از خود راضي نگه دارم يا شوهرم را؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1167";"خانواده";"روش برخورد با همسر بی مهر و محبت چیست؟";"روانشناسی";;;"0";;"توضیح";;;"0";
"1168";"خانواده (همسران)";"ميان همسر و خانواده ام به شدت اختلاف است و همسرم مانع رفت و آمد با خانواده ام مي باشد و نيز نگران دخالتهاي پدر و مادرم مبني بر طلاق مي باشم. چه كنم؟";"روانشناسی";;;"0";;"پیشنهاد";;;"0";
"1169";"خانواده (همسران)";"در دوران عقد به سر مي برم . خانواده خانم بسيار سختگيري مي كنند و در روابط ما دخالت مي كنند. آيا آنها حق چنين كاري را دارند؟چگونه بايد اين مشكل را حل كرد؟";"روانشناسی";;;"0";;"بله/خیر";;;"0";
"1170";"خانواده";"همسر و مادر شوهرم به خاطر اختلاف جهيزيه من و ساير خواهرانم مرا سرزنش مي كنند وبه همين دليل با يكديگر اختلاف داريم . چگونه بايد اين مشكل را حل كرد؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1171";"خانواده (همسران)";"در برابر شوهري كه به بدبيني مبتلا است چه بايد كرد ؟ آيا بايد نسبت به اين بدبيني ها ترتيب اثر داد؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1172";"تربیت دینی";"به خاطر بد بودن جوهاي ناسالم كه افراد بي‌بند و بار بيشتر در منظر مي باشند و چون بچه‌ها گرايش بيشتري به جهت منفي دارند، چگونه فرزندان خود را به يادگيري فرائض ديني علاقه‌مند و تشويق كنيم‌؟";"مذهبی";"روانشناسی";;"0";;"نظر";;;"0";
"1173";"تربیت دینی";"چگونه مي‌توان زشتي گناه را براي فرزندانمان‌، مشخص كنيم‌، همان گونه كه باطن زشت گناه در برزخ ظاهر مي‌شود تا قبح گناه ريخته نشودو فرزندانمان هميشه با گناهان بي تفاوت برخورد نكنند؟..........";"مذهبی";"روانشناسی";;"0";;"نظر";;;"0";
"1174";"تربیت دینی";"يكي از بستگان ما، كودك 5 ساله‌اي دارند كه در مسأله تربيت مذهبي او نياز به راهنمايي داريم‌. پدر اين كودك به موازين شرعي و حتي نماز بي‌اعتنا بوده و خانوادة او نيز اهل بي بند و باري‌، بي‌حجابي‌، تماشاي فيلم‌ها و نوارهاي مبتذل هستند و با توجه به اين نکته ها ما را در تربیت مذهبی کودک راهنمایی کنید؟";"مذهبی";"روانشناسی";;"0";;"نظر";"توضیح";;"0";
"1175";"تربیت و مشاوره";"فرزندم در محيطهاي آزاد و نسبت به مذهب كم تفاوت رفت و آمد مي‏كند. چگونه او را تربيت كنم ؟(حال آن كه مي‏دانم تربيت اجباري نه تنها تأثير ندارد، بلكه به عكس موجب روگرداني فرزند مي‏شود).";"روانشناسی";"کودکان";;"0";;"نظر";;;"0";
"1176";"تربیت دینی";"تقویت اراده و تسلط بر نفس چه نقشى در تربیت انسان دارد؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1177";"تربیت دینی";"به عنوان يك زن و يك مادر چگونه مي توانم دختر كوچك 3 ساله ام را طوري تربيت كنم كه در عين اينكه مي تواند در اين اجتماع زندگي كند و به شخصيت او لطمه اي وارد نشود ولي در عين حال دختري يا بهتر بگويم زني به بار بياورم و تحويل جامعه دهم كه طبق موازين اسلامي باشد";"مذهبی";"روانشناسی";"کودکان";"0";;"نظر";"توضیح";"پیشنهاد";"0";
"1178";"تربیت دینی";"فرزندي يك ساله دارم كه از ابتداي تولد، صداي روح‌نواز تلاوت‌هاي زيباي قرآن در گوشش طنين‌انداز بوده است‌، به طوري كه به محض شنيدن صداي قاري‌، سكوت مي‌كند و با تمام وجود به گوش كردن مي‌پردازد. لطفاً بفرماييد با توجه به هوش سرشار او، چگونه مي توانم به‌ تربيت قرآني‌ فرزندم بپردازم؟";"روانشناسی";;;"0";;"نظر";;;"0";
"1179";"تربیت جنسی";"چرا ديدن فيلم‌‏ها و عكس‏‌هاى مبتذل اشكال دارد؟";"روانشناسی";;;"0";;"دلیل";;;"0";
"1180";"تربیت جنسی";"مادري هستم داراي پسري 7 ساله و مي‌خواهم بدانم كه مقدار پوشش من در برابر فرزندم چقدر بايد باشد؟";"مذهبی";;;"0";;"نظر";;;"0";
"1181";"تربیت جنسی";"شرايط و عوامل اجتماعي رواني كه باعث بيداري تحريك كودكان در مسائل جنسي مي‌شود چيست؟";"روانشناسی";;;"0";;"نظر";;;"0";
