;term;TF-IDF;num_q;f_in_q
1690;پزشکی;1163.34344126;12.0;[[452, 1], [453, 1], [498, 1], [499, 1], [1108, 1], [1364, 1], [1394, 1], [1505, 1], [1538, 1], [1605, 1], [1747, 2], [1880, 1]]
1691;اقداماتی;1663.67567839;14.0;[[452, 1], [478, 1], [519, 1], [662, 1], [669, 1], [671, 1], [673, 1], [674, 1], [675, 1], [676, 1], [678, 1], [1454, 1], [1657, 1], [1847, 1]]
1692;رسیدگی;597.878166034;4.0;[[453, 1], [455, 1], [1526, 1], [2668, 1]]
1693;ازکارافتادگی;1541.29877702;6.0;[[454, 1], [455, 1], [456, 1], [457, 1], [459, 1], [460, 1]]
1694;شرایطی;1812.3463106;12.0;[[454, 1], [474, 1], [485, 1], [496, 1], [503, 1], [532, 1], [649, 1], [682, 1], [683, 1], [1508, 1], [1855, 1], [2372, 1]]
1695;کلی;564.132949326;9.0;[[456, 1], [1070, 1], [1077, 1], [1099, 1], [1240, 1], [1636, 1], [1757, 1], [1779, 1], [1821, 1]]
1696;جزئی;354.457729971;1.0;[[457, 1]]
1697;غرامت;1405.96174733;8.0;[[458, 1], [488, 1], [489, 1], [490, 1], [491, 1], [496, 1], [497, 1], [499, 1]]
1698;مقطوع;315.073537752;1.0;[[458, 1]]
1699;نقص;517.402615441;4.0;[[458, 1], [999, 1], [1430, 1], [1756, 1]]
1700;مزد;824.749292395;6.0;[[459, 1], [2093, 1], [2248, 1], [2288, 1], [2289, 1], [2583, 1]]
1701;متوسط;985.677155976;4.0;[[459, 1], [649, 1], [2228, 1], [2737, 1]]
1702;تعیین;780.629020877;6.0;[[459, 1], [495, 1], [523, 1], [1540, 1], [1541, 1], [2486, 1]]
1703;کارفرما;941.071064581;8.0;[[461, 1], [584, 1], [591, 1], [2093, 1], [2102, 1], [2623, 1], [2630, 1], [2634, 1]]
1704;کارکنان;774.862802634;6.0;[[461, 1], [2243, 1], [2245, 1], [2286, 1], [2292, 1], [2622, 1]]
1705;بازنشستگی;1506.20621803;9.0;[[461, 1], [462, 1], [463, 1], [465, 1], [466, 1], [467, 1], [468, 1], [540, 1], [1516, 2]]
1706;برخورداری;1041.89067854;6.0;[[464, 1], [466, 1], [468, 1], [496, 1], [2232, 1], [2233, 1]]
1707;حداقل;1134.38790128;11.0;[[464, 1], [465, 1], [557, 1], [558, 1], [672, 1], [1265, 1], [1309, 1], [1680, 1], [1829, 1], [1936, 1], [2045, 1]]
1708;١٠;477.66912777;3.0;[[464, 1], [465, 1], [2101, 1]]
1709;مواردی;1543.54657171;14.0;[[464, 1], [466, 1], [468, 1], [499, 1], [546, 1], [730, 1], [820, 1], [1537, 1], [1610, 1], [1627, 1], [1754, 1], [2196, 1], [2444, 1], [2480, 1]]
1710;مزایای;923.452097742;6.0;[[466, 1], [468, 1], [554, 1], [2245, 1], [2289, 1], [2729, 1]]
1711;آزادگان;547.860150121;3.0;[[466, 1], [467, 1], [468, 1]]
1712;ملاک;530.610897412;4.0;[[467, 1], [554, 3], [1424, 1], [1539, 1]]
1713;شاغل;650.115153404;7.0;[[467, 1], [1286, 1], [1321, 1], [2243, 1], [2245, 2], [2285, 1], [2636, 1]]
1714;دردستگاههای;167.460171487;2.0;[[467, 1], [1875, 1]]
1715;دولتی;1123.4007508;11.0;[[467, 1], [1333, 1], [1367, 1], [1506, 2], [1952, 1], [2038, 1], [2094, 1], [2113, 1], [2243, 2], [2290, 1], [2292, 1]]
1716;بعنوان;602.034453765;6.0;[[467, 1], [1523, 1], [1626, 1], [2251, 1], [2287, 1], [2618, 1]]
1717;کارمند;317.85543855;3.0;[[467, 1], [1073, 1], [2650, 1]]
1718;رسمی;951.742277869;8.0;[[467, 1], [575, 1], [577, 1], [579, 1], [830, 1], [1227, 1], [1257, 1], [1506, 1]]
1719;دولت;670.01715826;5.0;[[467, 1], [553, 1], [2094, 1], [2245, 1], [2292, 1]]
1720;میباشند;169.216746712;2.0;[[467, 1], [1537, 1]]
1721;اروتز;835.385576197;4.0;[[469, 1], [471, 1], [472, 1], [473, 1]]
1722;پروتز;835.385576197;4.0;[[469, 1], [471, 1], [472, 1], [473, 1]]
1723;وسایلی;315.073537752;1.0;[[469, 1]]
1724;اروتزو;354.457729971;1.0;[[470, 1]]
1725;پروتزبه;354.457729971;1.0;[[470, 1]]
1726;مراحل;1065.49610392;10.0;[[472, 1], [945, 1], [1103, 2], [1184, 1], [1531, 2], [1676, 1], [1685, 1], [1971, 1], [2561, 1], [2575, 1]]
1727;طی;1228.62116917;12.0;[[472, 1], [883, 1], [1031, 1], [1220, 1], [1302, 2], [1482, 1], [1558, 1], [2054, 1], [2144, 1], [2233, 1], [2505, 1], [2798, 1]]
1728;هرچند;250.993399662;2.0;[[473, 1], [1234, 1]]
1729;وقت;2710.39448019;55.0;[[473, 1], [780, 1], [781, 1], [860, 1], [910, 1], [926, 1], [943, 2], [1016, 1], [1029, 1], [1039, 1], [1229, 1], [1268, 1], [1272, 1], [1283, 1], [1300, 1], [1306, 1], [1332, 2], [1345, 1], [1367, 1], [1393, 1], [1419, 1], [1431, 2], [1492, 1], [1497, 2], [1508, 1], [1523, 1], [1542, 1], [1544, 1], [1548, 1], [1567, 1], [1569, 1], [1603, 1], [1638, 1], [1659, 1], [1715, 1], [1772, 1], [1784, 1], [1832, 1], [1842, 1], [1853, 1], [1860, 1], [1884, 1], [1893, 1], [2042, 1], [2254, 2], [2267, 1], [2278, 1], [2284, 1], [2368, 1], [2578, 1], [2678, 1], [2695, 1], [2699, 1], [2700, 1], [2730, 1]]
1730;کمک;3629.31169468;42.0;[[474, 1], [475, 1], [476, 1], [485, 1], [486, 1], [487, 1], [532, 1], [533, 1], [534, 1], [535, 1], [553, 1], [706, 1], [887, 1], [940, 2], [1031, 1], [1033, 1], [1084, 1], [1097, 1], [1116, 1], [1129, 2], [1280, 1], [1337, 1], [1340, 1], [1370, 1], [1481, 1], [1487, 1], [1514, 2], [1611, 1], [1700, 1], [1755, 1], [1757, 1], [1840, 1], [1899, 1], [1943, 1], [2007, 1], [2148, 1], [2173, 1], [2527, 1], [2568, 1], [2576, 1], [2778, 1], [2797, 1]]
1731;مبلغ;1718.90819152;14.0;[[476, 1], [583, 2], [587, 2], [712, 1], [715, 1], [1503, 3], [1510, 1], [1521, 1], [1527, 1], [1534, 1], [1543, 1], [1729, 1], [2179, 1], [2182, 1]]
1732;اصلی;948.400087758;8.0;[[477, 1], [528, 1], [536, 1], [566, 1], [576, 1], [796, 1], [1505, 1], [1900, 1]]
1733;پوشش;1608.1714126;12.0;[[477, 1], [478, 1], [482, 1], [483, 1], [580, 1], [1179, 1], [1422, 1], [1743, 1], [1999, 1], [2001, 1], [2008, 1], [2118, 1]]
1734;والدین;634.999017052;5.0;[[478, 1], [1227, 1], [2117, 1], [2118, 1], [2241, 1]]
1735;فرزندان;1503.40211991;13.0;[[479, 1], [480, 1], [483, 1], [956, 1], [1171, 1], [1455, 1], [1522, 1], [2076, 1], [2117, 1], [2118, 1], [2241, 1], [2491, 1], [2608, 1]]
1736;تکفل;584.948915482;3.0;[[479, 1], [480, 1], [481, 1]]
1737;دختردر;177.228864986;1.0;[[480, 1]]
1738;جدایی;619.480134315;3.0;[[480, 1], [1456, 1], [1539, 1]]
1739;دوباره;700.829617084;21.0;[[480, 1], [981, 3], [1376, 1], [1391, 1], [1404, 1], [1429, 1], [1492, 2], [1559, 1], [1639, 1], [1645, 1], [1649, 1], [1668, 1], [1673, 1], [1679, 1], [1686, 1], [1699, 1], [1824, 1], [1833, 1], [1865, 1], [1877, 1], [1884, 1]]
1740;پدر;1259.57280143;24.0;[[480, 1], [495, 1], [960, 2], [990, 1], [1167, 1], [1173, 1], [1386, 1], [1416, 1], [1437, 1], [1453, 1], [1489, 1], [1501, 1], [1507, 1], [1516, 1], [1520, 1], [1529, 1], [1546, 1], [1759, 3], [1827, 1], [1837, 2], [1842, 1], [1848, 1], [2253, 1], [2686, 1]]
1741;گیرند;248.018663073;2.0;[[480, 1], [1681, 1]]
1742;خواهران;233.653369742;3.0;[[481, 1], [1229, 1], [1507, 1]]
1743;برادران;225.759152678;2.0;[[481, 1], [1229, 1]]
1744;بگیرند;311.601170416;2.0;[[481, 1], [2629, 1]]
1745;درچه;712.588370935;3.0;[[482, 1], [506, 1], [2617, 1]]
1746;شوهر;1232.02289279;16.0;[[482, 1], [961, 1], [997, 1], [1004, 1], [1155, 1], [1164, 1], [1230, 1], [1505, 1], [1520, 2], [1539, 1], [1545, 1], [2158, 1], [2487, 1], [2488, 1], [2608, 1], [2687, 1]]
1747;بگیرد;430.329340889;3.0;[[482, 1], [1373, 1], [2527, 1]]
1748;آورد;552.84761735;4.0;[[483, 1], [1006, 1], [1184, 1], [2285, 1]]
1749;استخدام;499.54330812;5.0;[[484, 1], [1008, 1], [1506, 2], [2243, 1], [2290, 1]]
1750;هایی;3574.14344339;34.0;[[484, 1], [498, 1], [556, 1], [572, 1], [773, 1], [865, 1], [888, 1], [940, 1], [1041, 1], [1056, 1], [1111, 1], [1216, 1], [1272, 1], [1493, 1], [1506, 2], [1508, 1], [1553, 1], [1555, 1], [1591, 1], [1763, 1], [1835, 1], [1875, 1], [1902, 1], [1946, 1], [1950, 1], [1966, 1], [1994, 1], [2007, 1], [2126, 1], [2149, 1], [2220, 1], [2323, 1], [2474, 1], [2795, 1]]
1751;نظام;505.682068034;4.0;[[484, 1], [537, 1], [539, 1], [1549, 1]]
1752;حمایتی;113.426473591;1.0;[[484, 1]]
1753;دیگری;1511.16436202;21.0;[[484, 1], [517, 1], [695, 1], [702, 1], [847, 1], [1366, 1], [1469, 1], [1509, 2], [1517, 1], [1634, 1], [1692, 1], [1751, 1], [1762, 1], [1796, 1], [1927, 1], [2162, 1], [2169, 1], [2506, 1], [2540, 1], [2678, 1], [2797, 1]]
1754;تکلیف;822.232905801;7.0;[[484, 1], [993, 1], [1233, 1], [1741, 1], [1748, 1], [1750, 1], [2622, 1]]
1755;سوابق;1391.13184935;10.0;[[484, 1], [491, 1], [507, 1], [537, 1], [538, 1], [541, 1], [542, 1], [738, 1], [2095, 1], [2204, 1]]
1756;قبلی;551.924864189;9.0;[[484, 1], [691, 1], [1502, 1], [1510, 1], [1631, 1], [1638, 1], [1649, 1], [1857, 1], [1936, 1]]
1757;حق;3074.87307601;37.0;[[484, 1], [537, 1], [539, 1], [545, 1], [546, 1], [547, 1], [550, 1], [561, 1], [563, 1], [565, 1], [566, 1], [567, 1], [568, 1], [570, 1], [571, 1], [572, 1], [576, 1], [584, 1], [590, 1], [1155, 1], [1168, 1], [1413, 1], [1422, 1], [1507, 1], [1516, 1], [1522, 1], [1524, 1], [1536, 1], [1759, 4], [2019, 1], [2253, 2], [2500, 1], [2628, 1], [2661, 1], [2669, 1], [2671, 1], [2672, 1]]
1758;تامین;905.7787349;11.0;[[484, 1], [493, 1], [495, 1], [540, 1], [560, 1], [588, 1], [940, 1], [1508, 1], [1885, 1], [2352, 1], [2478, 1]]
1759;اجتماعی;1733.91420972;13.0;[[484, 1], [493, 1], [495, 1], [540, 1], [560, 1], [588, 1], [1837, 1], [2247, 1], [2601, 1], [2604, 1], [2607, 1], [2639, 1], [2664, 1]]
1760;بارداری;4997.2780651;45.0;[[485, 1], [488, 1], [489, 1], [490, 2], [491, 1], [493, 1], [862, 1], [863, 1], [1010, 1], [1053, 1], [1302, 1], [1401, 1], [1464, 1], [1486, 1], [1631, 1], [1647, 2], [1648, 1], [1652, 2], [1654, 2], [1656, 2], [1657, 1], [1659, 1], [1661, 1], [1668, 1], [1672, 1], [1675, 1], [1676, 1], [1677, 2], [1906, 1], [2068, 1], [2070, 1], [2090, 1], [2096, 1], [2098, 1], [2100, 1], [2291, 2], [2370, 1], [2371, 1], [2483, 1], [2587, 1], [2645, 1], [2763, 1], [2765, 1], [2790, 1], [2794, 1]]
1761;بارداریچقدر;567.132367954;1.0;[[486, 1]]
1762;بارداریبرای;354.457729971;1.0;[[487, 1]]
1763;دستمزد;1308.45061968;8.0;[[488, 1], [489, 1], [490, 1], [491, 1], [496, 1], [497, 1], [499, 1], [554, 2]]
1764;ایام;1794.01706669;14.0;[[488, 1], [489, 1], [490, 1], [491, 1], [496, 1], [497, 1], [499, 1], [854, 1], [1104, 1], [1160, 1], [1339, 1], [1592, 2], [2582, 1], [2755, 1]]
1765;ارایه;768.51253045;6.0;[[489, 1], [711, 1], [806, 1], [1342, 1], [1366, 1], [2178, 1]]
1766;درمدت;324.771241671;2.0;[[490, 1], [507, 1]]
1767;چهارم;654.302925916;6.0;[[490, 1], [527, 1], [1272, 1], [1502, 1], [2274, 1], [2483, 1]]
1768;کم;2946.23529966;59.0;[[491, 1], [492, 1], [715, 1], [742, 1], [764, 1], [855, 1], [877, 1], [918, 1], [943, 4], [1020, 1], [1030, 1], [1031, 3], [1033, 1], [1034, 1], [1098, 1], [1100, 1], [1232, 2], [1271, 1], [1282, 1], [1287, 2], [1288, 1], [1302, 2], [1306, 3], [1307, 1], [1313, 1], [1321, 2], [1332, 1], [1344, 1], [1368, 1], [1407, 1], [1431, 1], [1454, 1], [1467, 1], [1507, 1], [1527, 1], [1544, 1], [1567, 1], [1595, 1], [1600, 2], [1623, 1], [1632, 1], [1638, 2], [1658, 1], [1691, 1], [1758, 1], [1793, 2], [1881, 1], [1882, 1], [1933, 1], [1936, 1], [1992, 1], [2139, 1], [2182, 1], [2246, 1], [2269, 1], [2270, 1], [2271, 1], [2325, 1], [2764, 1]]
1769;مرخصی;1339.2456401;7.0;[[492, 2], [494, 1], [495, 1], [500, 1], [1104, 2], [2576, 1], [2755, 2]]
1770;استعلاجی;322.581748624;3.0;[[492, 1], [500, 1], [2576, 1]]
1771;پیش;2448.25813058;78.0;[[492, 1], [710, 1], [885, 1], [940, 1], [1039, 1], [1074, 1], [1083, 1], [1112, 1], [1158, 1], [1227, 2], [1229, 1], [1231, 1], [1232, 1], [1240, 1], [1281, 1], [1306, 1], [1321, 1], [1335, 1], [1346, 1], [1349, 1], [1362, 1], [1372, 2], [1476, 1], [1506, 1], [1508, 1], [1514, 2], [1525, 1], [1536, 1], [1540, 1], [1541, 1], [1542, 1], [1543, 1], [1544, 1], [1546, 2], [1558, 1], [1564, 1], [1567, 1], [1600, 1], [1603, 1], [1612, 1], [1636, 1], [1638, 1], [1639, 1], [1646, 1], [1649, 1], [1650, 5], [1655, 1], [1661, 1], [1669, 3], [1676, 2], [1679, 1], [1685, 1], [1689, 1], [1697, 1], [1716, 1], [1727, 1], [1739, 1], [1780, 1], [1833, 1], [1837, 1], [1847, 1], [1864, 1], [1883, 1], [1884, 2], [1888, 1], [1895, 1], [1936, 1], [2041, 1], [2146, 1], [2177, 1], [2246, 1], [2298, 1], [2316, 1], [2495, 1], [2568, 1], [2627, 2], [2629, 1], [2792, 1]]
1772;زایمان;1253.81039782;6.0;[[492, 2], [494, 1], [1600, 1], [1663, 3], [2291, 1], [2655, 1]]
1773;استراحت;802.818758419;8.0;[[492, 1], [498, 1], [499, 1], [500, 1], [1652, 1], [1673, 1], [1884, 1], [2482, 1]]
1774;دوران;1877.16407617;19.0;[[493, 1], [537, 1], [539, 1], [885, 1], [1060, 1], [1168, 1], [1313, 1], [1344, 1], [1431, 1], [1464, 1], [1545, 1], [1650, 1], [1906, 1], [2057, 1], [2068, 1], [2090, 1], [2146, 1], [2565, 1], [2763, 1]]
1775;خدماتی;396.047845009;3.0;[[493, 1], [575, 1], [1833, 1]]
1776;کارگران;789.878538882;6.0;[[495, 1], [511, 1], [581, 1], [2095, 1], [2248, 1], [2631, 1]]
1777;آقا;157.536768876;1.0;[[495, 1]]
1778;صاحب;843.440993667;7.0;[[495, 1], [959, 1], [1505, 1], [1512, 1], [1517, 1], [1591, 1], [2762, 1]]
1779;بیماری;1629.68944546;19.0;[[496, 1], [497, 1], [499, 1], [870, 1], [1310, 3], [1316, 2], [1454, 1], [1532, 2], [1605, 1], [1606, 1], [1701, 1], [1887, 1], [1949, 1], [1950, 2], [1951, 1], [2123, 1], [2131, 1], [2537, 1], [2606, 1]]
1780;خواست;509.520009633;9.0;[[497, 1], [527, 1], [919, 1], [949, 1], [961, 1], [987, 1], [1506, 1], [1529, 1], [1841, 1]]
1781;اولین;919.215737111;11.0;[[499, 1], [566, 1], [664, 1], [1058, 1], [1107, 1], [1669, 1], [1811, 2], [1816, 1], [1847, 1], [2575, 1], [2578, 1]]
1782;شروع;2453.85820224;39.0;[[499, 1], [849, 1], [1111, 1], [1113, 1], [1116, 2], [1225, 1], [1271, 1], [1311, 1], [1340, 1], [1348, 1], [1358, 1], [1360, 1], [1368, 2], [1374, 1], [1404, 1], [1460, 1], [1465, 1], [1492, 1], [1576, 1], [1608, 1], [1638, 1], [1645, 2], [1649, 1], [1657, 1], [1668, 1], [1682, 1], [1838, 1], [1852, 1], [1878, 1], [1884, 1], [1904, 1], [1974, 1], [1975, 1], [2000, 1], [2119, 1], [2284, 1], [2573, 1], [2598, 1], [2646, 1]]
1783;شیفتی;85.9291466597;1.0;[[500, 1]]
1784;١٤روز;171.858293319;1.0;[[500, 2]]
1785;شب;1690.44951539;23.0;[[500, 1], [906, 1], [1009, 1], [1016, 1], [1074, 1], [1311, 1], [1320, 1], [1341, 2], [1361, 1], [1382, 1], [1431, 3], [1432, 1], [1468, 1], [1609, 1], [1649, 1], [1719, 1], [2109, 2], [2284, 1], [2637, 1], [2656, 1], [2659, 1], [2702, 1], [2718, 1]]
1786;شبکاری;85.9291466597;1.0;[[500, 1]]
1787;داریم;1777.94388177;26.0;[[500, 1], [1016, 1], [1024, 1], [1062, 1], [1063, 1], [1065, 1], [1229, 1], [1242, 1], [1288, 1], [1332, 1], [1337, 1], [1349, 1], [1497, 1], [1546, 1], [1550, 1], [1690, 1], [1701, 1], [1755, 1], [1834, 1], [1962, 1], [2048, 1], [2049, 1], [2396, 1], [2472, 1], [2607, 1], [2724, 1]]
1788;استحقاقی;318.351168314;3.0;[[500, 1], [1104, 1], [2755, 1]]
1789;کمتر;975.569956951;13.0;[[500, 1], [583, 1], [943, 1], [1138, 1], [1318, 1], [1500, 1], [1656, 1], [1673, 1], [1884, 1], [1940, 1], [2554, 1], [2629, 1], [2731, 1]]
1790;هفته;1714.20249711;43.0;[[500, 1], [782, 1], [913, 1], [915, 1], [1016, 1], [1024, 1], [1027, 1], [1058, 1], [1077, 1], [1206, 1], [1248, 1], [1269, 1], [1302, 1], [1318, 1], [1320, 1], [1337, 1], [1401, 1], [1404, 1], [1508, 1], [1602, 1], [1606, 1], [1619, 1], [1631, 1], [1644, 1], [1645, 1], [1646, 1], [1649, 1], [1650, 1], [1656, 2], [1661, 1], [1673, 1], [1674, 1], [1677, 1], [1678, 1], [1701, 1], [1818, 1], [1884, 1], [1888, 1], [2058, 1], [2096, 1], [2483, 1], [2587, 1], [2765, 1]]
1791;سه;2248.46227093;50.0;[[500, 1], [912, 1], [1012, 1], [1027, 1], [1036, 1], [1093, 1], [1231, 1], [1232, 1], [1249, 1], [1272, 1], [1289, 1], [1292, 1], [1306, 1], [1312, 2], [1320, 1], [1396, 1], [1476, 1], [1489, 1], [1502, 2], [1503, 1], [1507, 1], [1508, 1], [1515, 1], [1530, 3], [1534, 1], [1543, 1], [1551, 1], [1558, 1], [1559, 1], [1567, 1], [1612, 1], [1666, 1], [1668, 3], [1669, 1], [1671, 1], [1719, 1], [1759, 1], [1762, 1], [1854, 1], [1970, 1], [2360, 1], [2701, 1], [2711, 1], [2752, 1], [2757, 1], [2764, 1], [2776, 1], [2795, 1], [2796, 1], [2797, 1]]
1792;مقرری;2290.3212013;13.0;[[501, 1], [503, 1], [504, 1], [505, 1], [506, 1], [507, 1], [508, 1], [509, 1], [510, 1], [511, 1], [513, 1], [515, 1], [2095, 1]]
1793;بیکاری;2281.83224545;15.0;[[501, 1], [505, 1], [506, 1], [507, 1], [508, 1], [509, 1], [510, 1], [511, 1], [512, 1], [513, 1], [514, 1], [515, 1], [516, 1], [517, 1], [2095, 1]]
1794;تازگی;597.352270256;7.0;[[502, 1], [563, 1], [1105, 1], [1366, 2], [1877, 1], [2097, 1], [2445, 1]]
1795;بیکار;689.187479702;4.0;[[502, 1], [510, 1], [512, 1], [515, 1]]
1796;بیکاریچه;354.457729971;1.0;[[503, 1]]
1797;بیکاریتا;283.566183977;1.0;[[504, 1]]
1798;پیدا;1629.06231723;28.0;[[504, 1], [1028, 1], [1046, 1], [1082, 1], [1107, 1], [1111, 1], [1122, 1], [1198, 1], [1247, 1], [1250, 1], [1261, 2], [1342, 1], [1364, 1], [1469, 1], [1501, 1], [1515, 1], [1570, 1], [1581, 1], [1619, 1], [1720, 1], [1722, 1], [1811, 1], [1842, 1], [1851, 1], [2097, 1], [2269, 1], [2627, 1], [2630, 1]]
1799;قطع;1108.97102996;13.0;[[506, 1], [509, 1], [868, 1], [1164, 1], [1312, 1], [1468, 1], [1596, 1], [1608, 2], [1619, 1], [1645, 2], [1668, 2], [2129, 1], [2334, 1]]
1800;وقفه;189.044122651;1.0;[[507, 1]]
1801;ایجاد;1390.25274399;23.0;[[507, 1], [873, 1], [987, 1], [1016, 1], [1055, 1], [1420, 1], [1465, 1], [1517, 1], [1525, 1], [1597, 1], [1659, 1], [1737, 1], [1759, 1], [1761, 1], [1827, 1], [1877, 5], [1889, 1], [1892, 1], [2099, 1], [2135, 1], [2291, 1], [2674, 1], [2774, 1]]
1802;افتادگی;399.821750983;3.0;[[509, 1], [1097, 1], [1613, 1]]
1803;جزیی;189.044122651;1.0;[[509, 1]]
1804;وهمسرم;166.803637634;1.0;[[510, 1]]
1805;ایم;585.497129061;8.0;[[510, 1], [556, 1], [589, 1], [1161, 1], [1344, 1], [1529, 1], [1855, 2], [2776, 1]]
1806;دویمان;166.803637634;1.0;[[510, 1]]
1807;فصلی;407.809343235;2.0;[[511, 1], [1813, 1]]
1808;کارگر;1301.43571747;9.0;[[512, 1], [551, 2], [1104, 1], [2094, 1], [2102, 1], [2103, 1], [2289, 1], [2634, 1], [2755, 1]]
1809;قراردادی;390.271033581;3.0;[[512, 1], [584, 1], [2248, 1]]
1810;پایان;345.506692013;5.0;[[512, 1], [581, 1], [1103, 1], [1342, 1], [2044, 1]]
1811;درمانی;2281.95945383;22.0;[[513, 1], [520, 1], [522, 1], [524, 1], [525, 1], [526, 1], [527, 1], [528, 1], [529, 1], [531, 1], [536, 1], [576, 1], [1048, 1], [1606, 1], [1611, 1], [1613, 1], [1701, 1], [1896, 1], [1897, 1], [1950, 1], [2271, 1], [2780, 1]]
1812;وخانواده;189.044122651;1.0;[[513, 1]]
1813;باطل;1632.13906048;10.0;[[513, 1], [739, 1], [1140, 1], [1511, 2], [1543, 1], [2075, 1], [2205, 1], [2580, 1], [2617, 1], [2620, 1]]
1814;عمرانی;218.127833828;1.0;[[514, 1]]
1815;شود ;218.127833828;1.0;[[514, 1]]
1816;مدیرعامل;218.127833828;1.0;[[515, 1]]
1817;مستندات;283.566183977;1.0;[[516, 1]]
1818;قانونی;943.22439735;17.0;[[516, 1], [525, 1], [1505, 2], [1506, 1], [1518, 1], [1522, 1], [1524, 1], [1526, 2], [1530, 1], [1538, 1], [1540, 1], [1541, 1], [1632, 1], [1733, 1], [2495, 1], [2554, 1], [2636, 1]]
1819;مدیر;413.227190622;4.0;[[516, 1], [589, 1], [1536, 2], [1833, 1]]
1820;عامل;856.914055932;8.0;[[516, 1], [550, 1], [573, 1], [589, 1], [1261, 1], [1536, 2], [1833, 1], [2244, 1]]
1821;میکنم;1656.88831697;49.0;[[517, 1], [982, 1], [1013, 1], [1016, 1], [1024, 1], [1074, 1], [1099, 4], [1116, 1], [1119, 1], [1224, 1], [1232, 1], [1279, 1], [1280, 2], [1281, 1], [1290, 1], [1303, 1], [1316, 2], [1332, 3], [1351, 1], [1369, 1], [1377, 1], [1480, 1], [1520, 1], [1542, 1], [1558, 1], [1570, 1], [1578, 1], [1592, 1], [1600, 3], [1602, 2], [1619, 1], [1648, 1], [1652, 1], [1653, 1], [1701, 1], [1765, 1], [1788, 1], [1793, 1], [1796, 1], [1826, 1], [1831, 1], [1836, 1], [1848, 1], [1858, 1], [1860, 2], [1887, 1], [2039, 1], [2096, 1], [2320, 1]]
1822;میخواهم;1290.20680717;14.0;[[517, 1], [977, 1], [1014, 1], [1314, 1], [1338, 1], [1350, 1], [1505, 2], [1536, 1], [1569, 2], [1595, 1], [1617, 1], [1769, 1], [1855, 1], [1875, 1]]
1823;کارم;129.62148011;4.0;[[517, 1], [940, 1], [1288, 1], [1502, 1]]
1824;ترک;722.471202557;9.0;[[517, 1], [524, 1], [549, 1], [943, 1], [1048, 1], [1123, 1], [1466, 1], [1501, 1], [2276, 1]]
1825;دنبال;712.117090601;11.0;[[517, 1], [927, 2], [971, 1], [1017, 1], [1020, 1], [1046, 1], [1330, 1], [1350, 1], [1406, 1], [1829, 1], [2574, 1]]
1826;رابطه;2837.71339145;35.0;[[517, 1], [586, 1], [919, 2], [1016, 2], [1060, 1], [1074, 3], [1164, 1], [1181, 1], [1225, 1], [1232, 1], [1240, 1], [1255, 1], [1465, 1], [1467, 1], [1482, 2], [1643, 2], [1649, 2], [1652, 1], [1655, 1], [1660, 2], [1777, 1], [2288, 1], [2504, 1], [2594, 1], [2596, 1], [2598, 1], [2630, 1], [2631, 1], [2633, 1], [2638, 1], [2640, 1], [2643, 1], [2651, 1], [2685, 1], [2789, 1]]
1827;بروم;334.610094727;5.0;[[517, 1], [1344, 1], [1350, 1], [1376, 2], [2066, 1]]
1828;میتوانم;1786.88153797;17.0;[[517, 1], [543, 2], [588, 1], [589, 1], [1263, 1], [1332, 1], [1347, 1], [1467, 1], [1515, 1], [1531, 1], [1623, 2], [1996, 1], [2004, 1], [2316, 1], [2317, 1], [2331, 1], [2740, 1]]
1829;حوادثی;315.073537752;1.0;[[518, 1]]
1830;ناشی;707.19570071;5.0;[[518, 1], [519, 1], [520, 1], [1852, 1], [2540, 1]]
1831;اطلاق;315.073537752;1.0;[[518, 1]]
1832;وقوع;420.766466647;3.0;[[519, 1], [1737, 1], [1933, 1]]
1833;حوادث;263.779046345;2.0;[[520, 1], [1748, 1]]
1834;شغلی;370.968894225;8.0;[[520, 1], [940, 1], [1352, 1], [1364, 1], [1533, 1], [1570, 1], [1697, 1], [1842, 1]]
1835;عهده;944.354447845;8.0;[[520, 1], [602, 1], [800, 1], [1103, 1], [1736, 1], [1749, 1], [1751, 1], [2016, 1]]
1836;صورت ;257.787439979;1.0;[[521, 1]]
1837;درمان;2696.00980852;42.0;[[521, 1], [523, 1], [959, 1], [1048, 1], [1157, 1], [1191, 1], [1291, 1], [1303, 1], [1310, 1], [1316, 1], [1328, 1], [1392, 1], [1440, 1], [1469, 1], [1473, 1], [1478, 1], [1582, 1], [1583, 1], [1584, 1], [1585, 1], [1586, 1], [1590, 1], [1610, 1], [1627, 1], [1637, 1], [1649, 2], [1687, 1], [1690, 1], [1702, 1], [1720, 1], [1891, 1], [1893, 1], [1899, 1], [1934, 1], [1935, 1], [1949, 1], [1950, 2], [1987, 1], [2263, 1], [2445, 1], [2656, 1], [2659, 1]]
1838; چه;257.787439979;1.0;[[521, 1]]
1839;اعتبار;1530.45462819;9.0;[[522, 1], [523, 1], [529, 1], [531, 1], [1101, 1], [1733, 1], [2013, 1], [2045, 1], [2214, 1]]
1840;اهمیتی;354.457729971;1.0;[[522, 1]]
1841;برچه;457.88060875;2.0;[[523, 1], [539, 1]]
1842;اساسی;283.566183977;1.0;[[523, 1]]
1843;کیفری;299.239908708;2.0;[[525, 1], [1504, 2]]
1844;امانت;465.290386505;3.0;[[526, 1], [2591, 1], [2610, 1]]
